Review_Positivity_Rate,Review_Total_Negative_Word_Counts,Review_Total_Positive_Word_Counts
6,47,3
28.5714,20,8
21.4286,11,3
100,0,23
8.69565,21,2
73.2558,23,63
66.6667,2,4
12.5,21,3
52,12,13
5.12821,37,2
5.55556,34,2
0,51,0
38.4615,40,25
8.77193,52,5
23.4375,49,15
21.1111,71,19
30,21,9
58.5366,17,24
38.8889,22,14
36.1702,30,17
2.8169,207,6
75.8621,7,22
33.3333,8,4
18.1818,54,12
1.74419,169,3
9.52381,57,6
41.3793,17,12
81.6667,11,49
18.1818,18,4
44.7368,21,17
53.8462,6,7
100,0,79
85.1064,14,80
32,17,8
12.1212,58,8
15.1899,67,12
42.8571,16,12
43.4783,13,10
21.7391,18,5
37.5,5,3
44,14,11
80.4878,24,99
21.875,50,14
85.7143,2,12
100,0,34
100,0,43
22.2222,14,4
41.6667,63,45
27.2727,16,6
43.9024,46,36
8.57143,32,3
17.3913,19,4
44.4444,5,4
47.3684,10,9
80,3,12
34,33,17
100,0,61
15.3846,11,2
48,13,12
5.83333,113,7
14.2857,24,4
4.05405,71,3
0,23,0
4.85437,98,5
6.17284,76,5
0,13,0
17.1429,29,6
70.5882,5,12
17.9487,64,14
15,17,3
18.9189,30,7
0,16,0
73.913,6,17
15.2174,39,7
23.2143,43,13
12.5,63,9
51.7241,14,15
21.7391,36,10
28.5714,10,4
84.6154,2,11
25,18,6
23.0769,10,3
17.5,33,7
50,7,7
0,7,0
17.0455,73,15
62.5,3,5
0,6,0
63.6364,4,7
15.1515,56,10
100,0,70
100,0,50
27.5,29,11
12.9032,27,4
42.5926,31,23
40.9091,26,18
28.7879,47,19
11.7647,30,4
70,9,21
40,18,12
55.8824,30,38
71.0526,11,27
56.5217,10,13
81.25,3,13
64.7059,6,11
55.1724,26,32
13.4021,84,13
86,7,43
72.7273,6,16
31.9444,49,23
15.7895,64,12
0,60,0
0,20,0
7.37327,201,16
55.7692,23,29
45.9459,20,17
57.1429,39,52
40.9091,13,9
53.0864,38,43
56.25,14,18
26.8293,30,11
4.91803,116,6
80.9524,4,17
59.0909,18,26
50,18,18
89.4737,2,17
34.0426,31,16
0,36,0
31.0345,20,9
71.1864,17,42
17.6471,28,6
32.8767,49,24
94.4444,2,34
29.4118,12,5
0,14,0
88.4354,17,130
68.8889,28,62
44.7368,42,34
68.75,5,11
29.6296,19,8
31.25,11,5
16.129,26,5
10,63,7
44.6809,26,21
47.7612,35,32
0,17,0
55.5556,4,5
76.6667,7,23
40.4255,28,19
100,0,20
100,0,80
31.8182,15,7
58.3333,15,21
46.0526,41,35
54.5455,5,6
65,14,26
50,28,28
100,0,213
72.9167,13,35
67.8571,9,19
30,14,6
22.2222,21,6
59.2593,11,16
42.8571,4,3
8.19672,56,5
38.4615,48,30
100,0,41
25,33,11
57.5758,14,19
93.1034,2,27
15.5172,98,18
22.2222,7,2
100,0,32
60,6,9
4.22535,68,3
0,47,0
21.3333,59,16
26.4706,50,18
100,0,46
4.87805,39,2
31.4607,61,28
48.1481,112,104
0,33,0
80.8511,9,38
88.8889,7,56
8.33333,22,2
15.7895,16,3
13.3333,26,4
46.9388,26,23
29.6296,38,16
41.6667,7,5
35,26,14
46.6667,16,14
54.3478,21,25
100,0,62
82.8571,6,29
44.3182,49,39
7.8534,352,30
33.3333,4,2
50,16,16
66.6667,6,12
45.2703,81,67
54.7368,43,52
100,0,38
32.2034,40,19
0,31,0
100,0,49
76.2712,14,45
11.5385,23,3
12.2951,107,15
41,118,82
100,0,77
54.1667,33,39
13.6364,38,6
77.7778,2,7
50.9804,25,26
69.0909,17,38
37.0787,56,33
39.6226,32,21
26.3158,14,5
52.3256,41,45
22.7273,17,5
66.6667,23,46
73.3333,8,22
31.9149,32,15
26.6667,22,8
15.8537,69,13
39.1304,14,9
27.7778,26,10
27.5862,21,8
1.6,123,2
50,9,9
20,52,13
90,2,18
90,3,27
50,12,12
23.5294,13,4
10,18,2
9.7561,37,4
56.25,28,36
17.6991,93,20
90.4762,2,19
25,21,7
14.4578,71,12
26.6667,11,4
50,24,24
32.1429,19,9
66.6667,13,26
48.6111,37,35
45.2381,23,19
38.7755,30,19
5.71429,33,2
16.2791,36,7
50,13,13
17.8571,46,10
18.4211,31,7
100,0,25
0,41,0
26.3889,106,38
11.9403,59,8
18.1818,27,6
40,3,2
18.9189,60,14
8.82353,93,9
52.1739,11,12
16.9811,44,9
67.7419,10,21
10.9091,49,6
31.5789,13,6
21.875,25,7
40.5405,22,15
19.6078,41,10
42.4658,42,31
56,11,14
55.1724,13,16
33.3333,14,7
23.1707,63,19
26.4706,25,9
96.0784,2,49
33.3333,28,14
57.5472,45,61
6.66667,28,2
45.614,31,26
54.2857,16,19
0,40,0
50,14,14
76.3889,17,55
9.80392,46,5
57.6923,11,15
72.2222,15,39
0,34,0
73.3333,12,33
95.4955,5,106
0,64,0
75,4,12
11.236,79,10
48.1481,14,13
0,99,0
25.8065,23,8
17.2414,48,10
46.6667,8,7
9.375,29,3
0,374,0
8.82353,62,6
0,35,0
25,6,2
18.1818,9,2
35.2941,33,18
8.4507,65,6
64.0244,59,105
58.1818,23,32
60,10,15
18.8889,73,17
2.73973,71,2
22.9167,37,11
43.5897,44,34
19.1489,38,9
20,24,6
29.3103,41,17
58.8235,14,20
63.6364,8,14
48.2759,15,14
0,30,0
81.8182,2,9
65,7,13
71.5447,35,88
0,57,0
57.1429,6,8
5.6338,67,4
0,112,0
46.4286,30,26
40,27,18
30.7692,27,12
61.3636,34,54
78.7879,7,26
14.5833,41,7
0,74,0
33.3333,20,10
59.5041,49,72
42.7083,55,41
58.0645,13,18
11.1111,24,3
23.5294,65,20
10.5263,17,2
21.2121,26,7
48.2353,44,41
53.125,15,17
42,29,21
4.7619,80,4
36,16,9
24,19,6
70.7317,12,29
40.8163,29,20
18.5185,22,5
86.4865,10,64
10.6061,59,7
9.57447,85,9
6.97674,80,6
17.6471,14,3
30.7692,9,4
14.2857,18,3
30.1075,65,28
22.6667,58,17
33.3333,18,9
82.6087,12,57
3.57143,54,2
13.3333,13,2
8.16327,90,8
65.5738,21,40
8.88889,41,4
93.6508,4,59
100,0,55
29.5455,31,13
81.25,21,91
53.3333,14,16
49.1803,31,30
16.0714,47,9
38.2979,29,18
53.1915,22,25
29.3651,89,37
45.1613,17,14
71.4286,8,20
47.1698,28,25
56.6667,13,17
42.1053,11,8
33.3333,12,6
69.2308,8,18
93.5484,2,29
68.4211,6,13
46.1538,63,54
64.2857,5,9
15.625,27,5
5.26316,36,2
27.0833,35,13
26.9231,38,14
39.3939,20,13
14.7059,29,5
6.45161,29,2
69.5652,7,16
36.6667,76,44
32.9545,59,29
20.8092,137,36
39.2857,17,11
50,8,8
19.3548,25,6
31.0811,51,23
72.3404,13,34
43.3962,30,23
76.9231,6,20
25.7143,26,9
59.1837,20,29
69.6429,17,39
54.1667,11,13
13.4146,71,11
0,93,0
0,38,0
100,0,72
30.5556,25,11
55.5556,12,15
55.814,19,24
54.8387,14,17
70.8333,7,17
56.5789,33,43
39.7059,41,27
69.1176,21,47
51.5152,16,17
78.7234,20,74
38.2353,21,13
61.5385,5,8
15.1515,28,5
53.3333,7,8
30.4348,16,7
79.1667,5,19
42.3077,15,11
25.6098,61,21
13.7931,25,4
37.8049,51,31
20.5882,27,7
15.873,53,10
36.6667,19,11
25.9259,40,14
33.3333,6,3
30.2326,30,13
41.9355,18,13
17.3913,38,8
0,28,0
20.8333,19,5
19.0476,17,4
27.7778,78,30
40,9,6
23.6364,42,13
25,78,26
44.4444,25,20
32.6531,33,16
33.6634,67,34
30.0654,107,46
40.7407,16,11
91.2281,5,52
100,0,44
41.6667,42,30
27.4194,45,17
31.5068,50,23
11.3924,70,9
61.9048,8,13
48.4848,17,16
97.9592,2,96
45,11,9
63.1579,7,12
72,7,18
84.375,10,54
91.8919,3,34
39.3939,120,78
66.6667,16,32
100,0,47
43.8095,59,46
45.1429,96,79
82.6446,21,100
13.2075,46,7
51.3761,53,56
64.5161,11,20
60.3175,25,38
28.5714,30,12
48.6486,19,18
47.8261,12,11
86.0215,13,80
17.0213,39,8
70,12,28
15.5172,49,9
10.7143,50,6
40.3509,34,23
84.8889,34,191
31.1828,64,29
41.6667,28,20
62.8571,13,22
8,23,2
60,2,3
33.3333,44,22
29.0323,22,9
3.22581,90,3
34.4828,19,10
16.2162,31,6
40,12,8
41.1215,63,44
61.2903,12,19
28.5714,55,22
41.1765,30,21
45.8064,84,71
90.9091,2,20
46.6667,40,35
50,10,10
0,54,0
31.6327,67,31
20,28,7
73.0769,7,19
5.40541,35,2
65.1163,15,28
33.3333,22,11
100,0,52
86.4865,5,32
62.963,10,17
76.4706,4,13
13.0435,20,3
0,42,0
38.7755,60,38
13.9394,142,23
100,0,220
36.7925,67,39
18.6047,35,8
28.125,46,18
36.1111,23,13
43.6364,31,24
88.8889,3,24
56.0976,18,23
52.381,10,11
28.0702,41,16
42.5532,27,20
41.1765,20,14
11.25,71,9
26.2295,45,16
20,16,4
24.0506,60,19
42.3077,30,22
32.4324,25,12
100,0,68
82.3529,3,14
13.5338,115,18
45.7143,57,48
39.4737,23,15
50,77,77
38.75,49,31
56.5217,20,26
31.5789,26,12
41.2698,37,26
24.1379,44,14
34.1463,27,14
72.7273,33,88
6.60377,99,7
83.3333,4,20
65.0485,36,67
8.91089,92,9
75,2,6
28.3019,38,15
38.5417,59,37
95.5556,2,43
15.5556,38,7
37.8378,69,42
16.6667,30,6
44.4444,35,28
35.7143,36,20
15.0943,45,8
9.66184,187,20
90.7407,5,49
86.9565,3,20
29.5775,50,21
92.7083,7,89
3.0303,64,2
35.0649,50,27
75,6,18
54.8387,28,34
11.1111,16,2
15.9091,37,7
16.4179,56,11
59.5745,19,28
48.1013,41,38
20.6897,23,6
75,5,15
100,0,64
84.6154,6,33
72.973,10,27
0,173,0
12.8,109,16
6.38298,44,3
23.3333,92,28
30.6452,43,19
4.6875,122,6
34.6154,17,9
19.0476,68,16
6.81818,41,3
93.1818,3,41
47.0588,9,8
36.8421,24,14
45.4545,12,10
46.3415,22,19
25,45,15
72.7273,9,24
82.9268,7,34
89.7959,5,44
77.7778,6,21
39.0625,39,25
0,121,0
95.6522,2,44
12.766,41,6
17.5439,47,10
8.10811,34,3
30.9524,29,13
81.25,9,39
34.8387,101,54
31.25,22,10
4.54545,42,2
93.75,2,30
23.75,61,19
78.5714,9,33
48.2143,29,27
80.6452,6,25
91.3043,2,21
100,0,101
24.3902,93,30
93.9394,2,31
0,27,0
40.2985,40,27
79.3103,6,23
9.70874,93,10
75,18,54
14.0625,55,9
67.6471,11,23
24.0741,41,13
9.45946,67,7
48.3871,32,30
4.97238,172,9
53.3333,28,32
57.5758,28,38
4.34783,132,6
55,9,11
7.89474,70,6
52.9412,16,18
36.3636,14,8
55.2239,30,37
23.4043,36,11
58.1818,46,64
64.2857,15,27
17.6471,112,24
75,7,21
87.5,2,14
62.069,11,18
23.913,35,11
3.60825,187,7
47.4576,31,28
57.1429,18,24
22.7273,34,10
78.4091,19,69
60,24,36
0,58,0
92.5,3,37
21.1538,41,11
7.14286,78,6
49.2754,35,34
63.0435,34,58
84,4,21
90.625,3,29
0,66,0
52.1739,22,24
29.8969,68,29
0,62,0
16.6667,70,14
44.6602,57,46
51.6129,15,16
100,0,74
40.2062,58,39
14.2857,30,5
25,27,9
64,9,16
19.3548,50,12
28.5714,15,6
28.2051,28,11
51.1111,22,23
100,0,57
91.1765,3,31
9.52381,38,4
37.2093,54,32
9.55882,123,13
13.4615,45,7
64.8649,13,24
5.97015,63,4
62,19,31
8,46,4
50,23,23
62.7451,19,32
77.2727,5,17
41.4286,41,29
51.4706,33,35
4.65116,41,2
82.9787,8,39
70.5882,10,24
50,15,15
62.5,12,20
45.7143,19,16
71.4286,4,10
35.7143,45,25
80.7692,15,63
64.2857,10,18
54.1985,60,71
46.1538,14,12
41.0959,43,30
34.2105,25,13
66.0194,105,204
59.4937,32,47
2.91545,333,10
59.4595,15,22
59.5238,17,25
23.0769,30,9
7.6087,85,7
26.0504,88,31
100,0,51
36.0656,39,22
36.2319,44,25
49.4624,47,46
24.3902,31,10
81.6327,18,80
87.5,4,28
57.1429,9,12
10.2564,35,4
22.807,44,13
89.7436,4,35
81.3559,11,48
80,6,24
13.3333,39,6
43.1818,25,19
18.75,65,15
8.33333,33,3
56.1644,32,41
52.5,19,21
37.7049,38,23
54.023,40,47
18.75,13,3
50,22,22
43.3735,47,36
78,11,39
71.4286,6,15
82.7586,5,24
38.3333,37,23
6.52174,43,3
61.3636,17,27
61.1111,7,11
3.61446,80,3
6.93069,94,7
57.8947,24,33
44.1176,19,15
46.4286,15,13
60.5263,15,23
51.0204,24,25
39.1304,28,18
6.10329,200,13
94.1176,2,32
12.3529,149,21
89.1304,5,41
29.7872,33,14
77.6596,21,73
65.5172,10,19
64.6341,29,53
57.1429,3,4
50,11,11
24.2424,25,8
100,0,60
77.7778,14,49
30.7692,36,16
2.01342,146,3
75,3,9
8.69565,63,6
75.6757,9,28
34.0909,58,30
61.9048,16,26
22.4138,45,13
14.2857,12,2
27.451,37,14
32.3529,23,11
72.7273,12,32
97.1429,2,68
60.6061,13,20
87.931,7,51
51.2195,20,21
65.625,11,21
92.3077,2,24
68.8889,14,31
9.63855,75,8
31.746,43,20
0,21,0
81.9444,26,118
16.1616,83,16
66.6667,7,14
32.7586,78,38
26.1905,31,11
41.5094,31,22
4.54545,63,3
59.7633,68,101
23.5294,52,16
33.3333,30,15
34.0426,62,32
75.4545,27,83
47.0588,54,48
57.5,17,23
3.125,62,2
66.6667,3,6
23.8095,48,15
0,44,0
16.6667,20,4
43.2432,21,16
37.5,10,6
74.4186,11,32
0,48,0
10.8108,66,8
27.1739,67,25
83.6364,9,46
61.2613,43,68
40,21,14
45.4545,18,15
4.81928,79,4
86.2069,8,50
27.8351,70,27
74.7368,24,71
28.0488,59,23
53.6585,38,44
45.8333,13,11
8.98876,81,8
44.8276,16,13
21.6216,29,8
7.47664,99,8
43.3333,85,65
48.9362,24,23
80,8,32
17.1642,111,23
30,42,18
68.1034,37,79
7.69231,48,4
51.6129,45,48
17.8571,23,5
40.3509,68,46
27.3333,109,41
88.2353,2,15
6.97674,40,3
28.4314,73,29
66.3462,35,69
10.8108,33,4
18.8679,43,10
86.9565,6,40
6.25,30,2
12.8205,34,5
46.2687,36,31
46.5116,23,20
92.0635,10,116
18.0328,50,11
78.125,7,25
22.3684,59,17
7.54717,49,4
84.2105,6,32
43.4783,26,20
53.6585,57,66
40.9091,104,72
69.4444,11,25
65,28,52
43.3333,17,13
20.8333,57,15
2.40964,81,2
57.3333,32,43
32.7869,82,40
12.5,49,7
22.2222,49,14
60,14,21
56.5657,43,56
24.1379,22,7
92,2,23
24.4444,34,11
51.7857,27,29
10.9589,65,8
11.3636,39,5
4.6875,61,3
79.4872,8,31
29.7297,26,11
43.1373,29,22
44,28,22
21.8182,43,12
100,0,73
23.2558,132,40
100,0,45
20,48,12
38.843,74,47
2.04082,144,3
19.2771,67,16
71.4286,18,45
80.7692,5,21
10.6383,42,5
66.6667,4,8
45.098,28,23
52.0548,70,76
50,19,19
51.5625,31,33
73.0435,31,84
36.5079,40,23
89.6552,3,26
35.2941,22,12
55.8824,15,19
0,12,0
54.878,37,45
77.4194,14,48
30.4348,64,28
5.88235,48,3
61.039,30,47
25.7576,49,17
60.7143,22,34
94.8718,2,37
85.7143,3,18
70,15,35
23.0769,20,6
83.3333,6,30
20.6897,46,12
70.9402,34,83
73.6842,5,14
78.5714,3,11
64.3678,31,56
74.1936,8,23
23.8095,16,5
36.036,71,40
84.4828,9,49
100,0,96
21.0526,15,4
47.3684,20,18
11.7647,75,10
40.8451,42,29
31.3725,35,16
62.5,18,30
37.8378,46,28
28.2609,33,13
7.24638,64,5
68.546,106,231
15.2174,78,14
82.6087,4,19
43.0556,41,31
79.5455,9,35
30.303,46,20
91.4286,3,32
87.1795,5,34
34.6939,32,17
12.6761,62,9
76,6,19
81.4815,10,44
57.8125,27,37
75,9,27
58.4615,27,38
78.5714,6,22
28.8889,32,13
68.8525,19,42
0,25,0
57.8947,32,44
84.2857,11,59
88.8889,6,48
65.5172,30,57
28.125,138,54
20,44,11
88.3721,5,38
9.04977,201,20
48.7179,20,19
34.8684,99,53
57.1429,15,20
35.7143,18,10
21.4286,66,18
59.1549,29,42
42.0561,62,45
73.5294,9,25
91.1111,4,41
16.6667,65,13
23.0769,60,18
10,45,5
67.2414,19,39
71.4286,16,40
89.899,10,89
17.5676,61,13
32.9412,57,28
31,69,31
77.9412,15,53
73.8095,11,31
58.4906,22,31
84.6154,4,22
21.519,62,17
13.8889,31,5
0,63,0
100,0,105
60.4651,17,26
94.8276,3,55
62.2642,20,33
30,35,15
66.25,27,53
60.3448,23,35
91.4894,4,43
12.1622,130,18
72.2892,23,60
0,231,0
71.4286,12,30
75.2294,54,164
75.7576,8,25
44.4444,20,16
38.4615,24,15
53.8462,30,35
100,0,71
50.813,121,125
87.8788,8,58
19.2982,46,11
20.9302,68,18
12.3457,71,10
9,91,9
42.4242,38,28
44.1558,43,34
27.2727,56,21
12.0155,227,31
70.4918,18,43
75.5102,24,74
75,8,24
64.1026,14,25
17.0732,34,7
8,69,6
41.3462,61,43
39.1304,42,27
12.6582,138,20
57.1429,21,28
86.6667,12,78
94.6237,5,88
63.7255,37,65
50.6173,80,82
67.1233,24,49
42.1875,37,27
94.1176,3,48
47.0588,18,16
0,214,0
15.0685,62,11
22.7273,85,25
69.697,30,69
64.4068,21,38
0,45,0
71.0145,20,49
53.8462,12,14
25.5814,64,22
41.4634,24,17
72.549,14,37
48.7805,21,20
38.4615,16,10
9.61539,47,5
45,55,45
15,119,21
88.1579,9,67
52.5424,28,31
12.2449,43,6
69.4444,33,75
43.2836,38,29
25.9259,20,7
19.1176,55,13
97.2603,2,71
16.6667,60,12
23.5294,39,12
32.6241,95,46
52.1739,33,36
75,11,33
90.2913,10,93
19.2308,42,10
29.1667,17,7
46.6667,24,21
25,36,12
7.40741,50,4
42.5,23,17
68.1818,7,15
68.254,20,43
65.7609,63,121
70.8333,21,51
34.7826,60,32
100,0,87
48.6486,38,36
78.2609,10,36
12.5,35,5
14.8148,46,8
45.6522,25,21
20.3704,43,11
6.75676,69,5
16.835,247,50
86.1111,5,31
0,138,0
12.0567,124,17
48.0769,27,25
64.2857,20,36
7.40741,25,2
38.2022,55,34
31.25,44,20
22.5,31,9
33.3333,52,26
28.5714,65,26
83.3333,9,45
17.7419,102,22
90.9091,4,40
47.7273,23,21
33.3333,16,8
9.67742,28,3
57.4074,23,31
53.5714,13,15
67.5,13,27
92.5234,8,99
50,17,17
51.0638,23,24
43.0108,53,40
6.16438,137,9
51.6667,29,31
92.8571,3,39
54.0541,17,20
46.988,44,39
51.4286,34,36
42.8571,36,27
42.4242,19,14
7.25806,115,9
33.0882,91,45
66.4286,47,93
89.0909,6,49
65.2174,8,15
61.5385,20,32
32.4675,52,25
60.9756,16,25
57.1429,12,16
20,32,8
45,22,18
27.9412,49,19
66.0714,19,37
7.84314,47,4
92.5926,2,25
11.0526,169,21
67.5676,12,25
53.4884,20,23
31.8182,195,91
9.375,58,6
12.069,51,7
100,0,85
61.1111,28,44
20,20,5
46.8085,25,22
6.45161,58,4
88.4615,6,46
44.2308,29,23
100,0,141
77.4194,7,24
56.4516,27,35
94.9153,3,56
67,33,67
84.3137,8,43
31.8681,62,29
33.7349,55,28
23.7288,45,14
3.48837,83,3
23.1884,53,16
84.2105,3,16
31.1475,42,19
60,16,24
82.2222,8,37
31.4286,24,11
66.6667,10,20
28,54,21
93.8775,3,46
92.8571,2,26
63.8889,13,23
56.4103,17,22
46.1538,21,18
61.5385,15,24
75,15,45
52.9412,40,45
67.6471,22,46
4,72,3
61.7647,13,21
0,61,0
9.09091,50,5
85.7143,5,30
81.6327,9,40
53.8462,18,21
26.1649,206,73
34.7826,30,16
41.8182,32,23
75.3425,18,55
37.7358,33,20
0,86,0
52.9412,24,27
24.4898,37,12
14.6853,122,21
45.8333,26,22
14.0351,49,8
87.5,13,91
55.5556,36,45
4.72441,121,6
92.4528,4,49
48.1481,70,65
37.037,17,10
45.7627,32,27
100,0,109
18.8235,69,16
33.3333,24,12
13.5417,83,13
22.8571,54,16
14.8148,69,12
20.6186,77,20
0,90,0
11.7647,45,6
71.1538,15,37
22.8571,27,8
93.3333,2,28
21.4286,55,15
61.25,31,49
55.6818,39,49
41.0714,33,23
9.09091,20,2
7.14286,39,3
28.7671,52,21
43.3333,34,26
5.6962,149,9
39.6552,35,23
28.2895,109,43
92.4242,10,122
32.8358,45,22
68.4211,12,26
0,0,0
38.0531,70,43
57.6642,58,79
81.3953,8,35
92.3077,6,72
76.3158,9,29
52.1739,44,48
100,0,167
62.963,30,51
31.7647,58,27
16.3265,41,8
74.1936,32,92
30.303,23,10
28.5714,25,10
98.0892,3,154
56.1404,75,96
60.4167,19,29
11.5385,69,9
10,36,4
59.6774,25,37
95.1613,3,59
96.2264,2,51
2.64317,221,6
88.8889,4,32
3.33333,87,3
49.3827,41,40
39.2857,34,22
56.1798,39,50
7.8125,118,10
40.625,19,13
35.1351,48,26
81.8182,6,27
15.942,58,11
57.971,29,40
20,68,17
37.6812,43,26
25.1429,131,44
93.0233,3,40
35.5932,38,21
36.9565,29,17
94.2857,4,66
15.3846,55,10
71.4286,10,25
8.92857,51,5
13.6364,19,3
21.9512,32,9
19.7674,69,17
55.9322,26,33
75,13,39
4.41176,130,6
40.5797,41,28
55.5556,40,50
9.30233,78,8
61.9718,27,44
26.087,34,12
55.8442,34,43
19.4444,58,14
16.6667,75,15
79.4872,24,93
7.5,37,3
70.9677,9,22
18.6813,74,17
12.6984,55,8
7.69231,24,2
18.6275,83,19
64.4444,16,29
100,0,106
44,56,44
10.9489,122,15
31.6667,41,19
34.9206,41,22
5.88235,32,2
20.5128,31,8
10.0775,116,13
52.7778,17,19
45.283,29,24
75.4902,25,77
68.4783,29,63
21.5385,51,14
48.75,41,39
15.3846,33,6
59.2593,33,48
39.2157,31,20
41.4141,58,41
35.8491,34,19
22.2222,35,10
53.3333,21,24
33.3333,38,19
48.8889,23,22
91.4286,6,64
87.013,10,67
41.8605,25,18
43.5897,22,17
9.30233,39,4
5.21739,109,6
0,104,0
62.7907,16,27
19.4805,62,15
73.5849,14,39
30.9859,49,22
10.2041,44,5
54.5455,20,24
92.5466,12,149
4.83871,177,9
17.1053,63,13
38.6364,27,17
30.4348,32,14
33.3333,42,21
58.6957,19,27
100,0,102
55.3571,25,31
68.3333,19,41
66.3866,40,79
18.6667,61,14
63.4146,30,52
78.3133,18,65
50.9434,26,27
54.7619,19,23
37.1681,71,42
54.902,23,28
5.88235,64,4
82.3529,6,28
56.8182,19,25
100,0,65
58.0645,26,36
60.8108,29,45
35.0877,37,20
81.25,6,26
67.3469,16,33
10.101,89,10
19.5122,33,8
10.6383,84,10
5.09383,354,19
15.7895,32,6
70.9091,16,39
37.963,67,41
2.74725,177,5
39.0244,25,16
9.93789,145,16
28.3333,43,17
29.1667,34,14
100,0,272
51.7241,28,30
52.6316,18,20
29.1139,56,23
